source,retrieved_at,ranking_scope,ranking_year,ranking,name,university_code,university_slug,country,country_code,country_ranking,score,indicator_alumni,indicator_award,indicator_hici,indicator_n_s,indicator_pub,indicator_pcp
arwu,2026-07-19T13:10:49+00:00,overall,2007,1,Harvard University,,harvard-university,United States,US,1,100.0,100.0,100.0,100.0,100.0,100.0,73.0
arwu,2026-07-19T13:10:49+00:00,overall,2007,2,Stanford University,,stanford-university,United States,US,2,73.7,42.0,78.7,86.1,69.6,70.3,65.7
arwu,2026-07-19T13:10:49+00:00,overall,2007,3,"University of California, Berkeley",,university-of-california-berkeley,United States,US,3,71.9,72.5,77.1,67.9,72.9,69.2,52.6
arwu,2026-07-19T13:10:49+00:00,overall,2007,4,University of Cambridge,,university-of-cambridge,United Kingdom,GB,1,71.6,93.6,91.5,54.0,58.2,65.4,65.1
arwu,2026-07-19T13:10:49+00:00,overall,2007,5,Massachusetts Institute of Technology (MIT),,massachusetts-institute-of-technology-mit,United States,US,4,70.0,74.6,80.6,65.9,68.4,61.7,53.4
arwu,2026-07-19T13:10:49+00:00,overall,2007,6,California Institute of Technology,,california-institute-of-technology,United States,US,5,66.4,55.5,69.1,58.4,67.6,50.3,100.0
arwu,2026-07-19T13:10:49+00:00,overall,2007,7,Columbia University,,columbia-university,United States,US,6,63.2,76.0,65.7,56.5,54.3,69.6,46.4
arwu,2026-07-19T13:10:49+00:00,overall,2007,8,Princeton University,,princeton-university,United States,US,7,59.5,62.3,80.4,59.3,42.9,46.5,58.9
arwu,2026-07-19T13:10:49+00:00,overall,2007,9,University of Chicago,,university-of-chicago,United States,US,8,58.4,70.8,80.2,50.8,42.8,54.1,41.3
arwu,2026-07-19T13:10:49+00:00,overall,2007,10,University of Oxford,,university-of-oxford,United Kingdom,GB,2,56.4,60.3,57.9,46.3,52.3,65.4,44.7
arwu,2026-07-19T13:10:49+00:00,overall,2007,11,Yale University,,yale-university,United States,US,9,55.9,50.9,43.6,57.9,57.2,63.2,48.9
arwu,2026-07-19T13:10:49+00:00,overall,2007,12,Cornell University,,cornell-university,United States,US,10,54.3,43.6,51.3,54.5,51.4,65.1,39.9
arwu,2026-07-19T13:10:49+00:00,overall,2007,13,"University of California, Los Angeles",,university-of-california-los-angeles,United States,US,11,52.6,25.6,42.8,57.4,49.1,75.9,35.5
