source,retrieved_at,ranking_scope,ranking_year,ranking,name,university_code,university_slug,country,country_code,country_ranking,score,indicator_alumni,indicator_award,indicator_hici,indicator_n_s,indicator_pub,indicator_pcp
arwu,2026-07-19T13:10:51+00:00,overall,2009,1,Harvard University,,harvard-university,United States,US,1,100.0,100.0,100.0,100.0,100.0,100.0,74.8
arwu,2026-07-19T13:10:51+00:00,overall,2009,2,Stanford University,,stanford-university,United States,US,2,73.1,39.0,78.7,87.1,67.3,70.1,66.9
arwu,2026-07-19T13:10:51+00:00,overall,2009,3,"University of California, Berkeley",,university-of-california-berkeley,United States,US,3,71.0,67.4,77.1,68.4,71.1,69.0,53.2
arwu,2026-07-19T13:10:51+00:00,overall,2009,4,University of Cambridge,,university-of-cambridge,United Kingdom,GB,1,70.2,89.4,91.5,53.8,53.9,65.4,65.5
arwu,2026-07-19T13:10:51+00:00,overall,2009,5,Massachusetts Institute of Technology (MIT),,massachusetts-institute-of-technology-mit,United States,US,4,69.5,71.0,80.6,65.7,67.9,62.0,54.4
arwu,2026-07-19T13:10:51+00:00,overall,2009,6,California Institute of Technology,,california-institute-of-technology,United States,US,5,64.8,51.5,69.1,57.1,66.2,47.7,100.0
arwu,2026-07-19T13:10:51+00:00,overall,2009,7,Columbia University,,columbia-university,United States,US,6,61.7,70.6,67.7,55.7,49.1,69.6,46.5
arwu,2026-07-19T13:10:51+00:00,overall,2009,8,Princeton University,,princeton-university,United States,US,7,60.2,57.8,85.2,61.6,41.5,45.7,61.4
arwu,2026-07-19T13:10:51+00:00,overall,2009,9,University of Chicago,,university-of-chicago,United States,US,8,57.0,65.8,84.3,49.7,38.6,51.6,41.8
arwu,2026-07-19T13:10:51+00:00,overall,2009,10,University of Oxford,,university-of-oxford,United Kingdom,GB,2,56.3,57.6,57.9,48.9,49.8,66.1,45.7
arwu,2026-07-19T13:10:51+00:00,overall,2009,11,Yale University,,yale-university,United States,US,9,55.2,49.8,43.6,57.6,55.7,62.7,49.5
arwu,2026-07-19T13:10:51+00:00,overall,2009,12,Cornell University,,cornell-university,United States,US,10,53.1,40.5,51.3,54.3,51.7,61.2,39.9
arwu,2026-07-19T13:10:51+00:00,overall,2009,13,"University of California, Los Angeles",,university-of-california-los-angeles,United States,US,11,52.3,23.8,42.8,57.4,50.3,74.5,36.2
arwu,2026-07-19T13:10:51+00:00,overall,2009,14,"University of California, San Diego",,university-of-california-san-diego,United States,US,12,50.7,15.5,35.9,60.3,53.9,65.2,48.0
arwu,2026-07-19T13:10:51+00:00,overall,2009,15,University of Pennsylvania,,university-of-pennsylvania,United States,US,13,49.3,30.9,34.4,57.6,44.1,69.0,39.8
arwu,2026-07-19T13:10:51+00:00,overall,2009,16,University of Washington,,university-of-washington,United States,US,14,48.0,25.0,31.8,53.3,48.8,73.7,28.1
arwu,2026-07-19T13:10:51+00:00,overall,2009,17,University of Wisconsin - Madison,,university-of-wisconsin-madison,United States,US,15,46.7,37.5,35.5,52.3,39.8,66.7,28.6
arwu,2026-07-19T13:10:51+00:00,overall,2009,18,"University of California, San Francisco",,university-of-california-san-francisco,United States,US,16,45.9,0.0,36.8,53.8,49.7,59.9,46.7
arwu,2026-07-19T13:10:51+00:00,overall,2009,19,The Johns Hopkins University,,johns-hopkins-university,United States,US,17,45.2,44.7,27.8,41.7,49.1,67.1,24.9
arwu,2026-07-19T13:10:51+00:00,overall,2009,20,The University of Tokyo,,the-university-of-tokyo,Japan,JP,1,45.1,34.1,14.1,42.9,49.0,79.7,34.1
arwu,2026-07-19T13:10:51+00:00,overall,2009,21,University College London,,university-college-london,United Kingdom,GB,3,44.6,30.4,32.2,40.4,45.2,66.0,36.1
arwu,2026-07-19T13:10:51+00:00,overall,2009,22,University of Michigan - Ann Arbor,,university-of-michigan-ann-arbor,United States,US,18,43.8,37.5,0.0,60.3,41.4,77.3,31.4
