source,retrieved_at,ranking_scope,ranking_year,ranking,name,university_code,university_slug,country,country_code,country_ranking,score,indicator_pub,indicator_cnci,indicator_ic,indicator_top,indicator_award
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,1,Princeton University,RI02848,princeton-university,United States,US,,349.5,64.2,72.9,62.2,100.0,100.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,2,University of Paris-Sud (Paris 11),RI00662,university-of-paris-sud-paris-11,France,FR,,291.1,68.7,58.5,69.1,75.8,74.3
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,3,Stanford University,RI02892,stanford-university,United States,US,,283.7,62.3,74.9,59.4,82.2,52.5
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,4,University of Oxford,RI02581,university-of-oxford,United Kingdom,GB,,278.4,70.3,64.1,73.0,70.7,58.7
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,5,New York University,RI02816,new-york-university,United States,US,,276.4,57.0,72.5,67.2,59.2,74.3
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,6,Massachusetts Institute of Technology (MIT),RI02779,massachusetts-institute-of-technology-mit,United States,US,,274.4,74.8,69.5,64.0,85.1,32.2
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,7,University of Cambridge,RI02557,university-of-cambridge,United Kingdom,GB,,266.7,62.6,66.1,74.0,70.7,52.5
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,8,"University of California, Los Angeles",RI02965,university-of-california-los-angeles,United States,US,,264.0,59.9,68.0,65.9,77.5,45.5
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,9,Pierre and Marie Curie University - Paris 6,RI00600,pierre-and-marie-curie-university-paris-6,France,FR,,254.4,77.5,64.1,77.1,65.2,32.2
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,10,"University of California, Berkeley",RI02962,university-of-california-berkeley,United States,US,,243.9,67.3,67.4,61.7,70.7,26.3
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,11,University of Warwick,RI02597,university-of-warwick,United Kingdom,GB,,243.2,56.6,61.4,78.4,57.0,52.5
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,12,Harvard University,RI02727,harvard-university,United States,US,,237.0,44.8,67.0,61.3,75.8,37.1
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,13,The University of Texas at Austin,RI02933,the-university-of-texas-at-austin,United States,US,,232.6,60.4,69.1,64.9,44.7,45.5
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,14,University of Wisconsin - Madison,RI03074,university-of-wisconsin-madison,United States,US,,230.6,54.7,66.1,67.2,59.2,37.1
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,15,Stony Brook University,RI02896,stony-brook-university,United States,US,,229.5,42.2,60.4,65.7,61.2,52.5
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,16,"Rutgers, The State University of New Jersey - New Brunswick",RI02865,rutgers-the-state-university-of-new-jersey-new-brunswick,United States,US,,228.4,64.2,62.1,75.0,50.0,37.1
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,17,Kyoto University,RI01352,kyoto-university,Japan,JP,,218.9,65.1,56.5,59.5,59.2,26.3
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,18,University of Chicago,RI02973,university-of-chicago,United States,US,,217.3,54.8,72.1,64.7,77.5,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,19,The Hebrew University of Jerusalem,RI01170,the-hebrew-university-of-jerusalem,Israel,IL,,216.7,50.0,53.9,77.2,65.2,32.2
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,20,Imperial College London,RI02487,imperial-college-london,United Kingdom,GB,,205.4,60.6,67.6,79.9,61.2,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,21,"University of California, San Diego",RI02967,university-of-california-san-diego,United States,US,,204.8,54.1,61.1,66.2,50.0,26.3
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,22,KTH Royal Institute of Technology,RI02238,kth-royal-institute-of-technology,Sweden,SE,,202.7,41.3,58.5,77.7,41.8,45.5
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,23,University of Illinois at Urbana-Champaign,RI02989,university-of-illinois-at-urbana-champaign,United States,US,,202.4,68.6,54.9,69.6,38.7,26.3
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,24,Swiss Federal Institute of Technology Zurich,RI02269,eth-zurich,Switzerland,CH,,202.3,63.5,63.4,81.3,59.2,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,25,Columbia University,RI02677,columbia-university,United States,US,,201.3,53.7,71.7,63.4,63.2,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,26,University Paris Diderot - Paris 7,RI00679,university-paris-diderot-paris-7,France,FR,,199.2,64.6,63.2,71.8,57.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,27,The University of Edinburgh,RI02539,the-university-of-edinburgh,United Kingdom,GB,,199.2,47.3,65.9,75.6,38.7,32.2
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,28,Ecole Normale Superieure - Paris,RI00537,ecole-normale-superieure-paris,France,FR,,193.1,42.3,71.7,79.1,63.2,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,29,King Abdulaziz University,RI01986,king-abdulaziz-university,Saudi Arabia,SA,,192.9,100.0,74.1,94.1,0.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,30,Paris Dauphine University (Paris 9),RI00594,paris-dauphine-university-paris-9,France,FR,,191.5,41.3,67.8,68.4,31.6,37.1
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,31,Texas A&M University,RI02907,texas-a-m-university,United States,US,,191.5,61.2,66.3,70.0,50.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,32,Ecole Normale Superieure - Lyon,RI00536,ecole-normale-superieure-lyon,France,FR,,189.2,36.3,62.7,66.0,44.7,32.2
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,33,University of Michigan-Ann Arbor,RI03012,university-of-michigan-ann-arbor,United States,US,,186.7,64.7,55.5,58.6,54.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,34,University of Geneva,RI02289,university-of-geneva,Switzerland,CH,,184.5,31.7,59.7,80.2,31.6,45.5
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,35,Brown University,RI02635,brown-university,United States,US,,183.9,47.7,70.7,65.3,52.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,36,University of Bonn,RI00740,university-of-bonn,Germany,DE,,183.4,58.0,63.4,73.1,47.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,37,University of Vienna,RI00100,university-of-vienna,Austria,AT,,182.0,65.2,62.5,78.0,38.7,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,38,Georgia Institute of Technology,RI02719,georgia-institute-of-technology,United States,US,,181.6,58.5,61.6,70.4,47.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,39,"University of Minnesota, Twin Cities",RI03014,university-of-minnesota-twin-cities,United States,US,,180.7,58.7,65.2,60.4,44.7,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,40,Peking University,RC00002,peking-university,China,CN,,180.1,65.5,61.8,54.8,41.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,41,National University of Singapore,RI02012,national-university-of-singapore,Singapore,SG,,179.6,50.7,59.0,87.4,52.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,42,Paul Sabatier University (Toulouse 3),RI00599,paul-sabatier-university-toulouse-3,France,FR,,177.8,51.1,62.3,72.1,50.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,43,University of Washington,RI03073,university-of-washington,United States,US,,177.0,48.8,65.0,66.3,50.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,44,Northwestern University,RI02826,northwestern-university,United States,US,,176.1,40.4,65.0,57.5,59.2,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,45,University of Toronto,RI00336,university-of-toronto,Canada,CA,,176.0,59.0,56.7,77.5,44.7,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,46,University of British Columbia,RI00318,university-of-british-columbia,Canada,CA,,175.8,57.5,60.4,80.2,41.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,47,Rice University,RI02854,rice-university,United States,US,,175.7,40.4,75.4,62.0,47.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,48,The Ohio State University - Columbus,RI02921,the-ohio-state-university-columbus,United States,US,,175.3,53.2,58.7,66.8,50.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,49,Swiss Federal Institute of Technology Lausanne,RI02282,swiss-federal-institute-of-technology-lausanne,Switzerland,CH,,171.7,55.7,63.4,85.8,35.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,50,University of Florida,RI02984,university-of-florida,United States,US,,171.3,46.0,58.0,64.3,22.4,32.2
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,California Institute of Technology,RI02640,california-institute-of-technology,United States,US,,,42.5,68.6,64.2,41.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,Ecole Polytechnique,RI00538,ecole-polytechnique,France,FR,,,57.7,62.1,73.0,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,Indiana University Bloomington,RI02743,indiana-university-bloomington,United States,US,,,46.3,56.7,68.4,47.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,INSA Lyon,RI00562,insa-lyon,France,FR,,,55.0,57.7,70.9,35.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,Moscow State University,RI01904,moscow-state-university,Russia,RU,,,93.5,44.2,44.5,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,McGill University,RI00302,mcgill-university,Canada,CA,,,44.5,61.4,79.7,38.7,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,Sapienza University of Rome,RI01206,sapienza-university-of-rome,Italy,IT,,,66.9,64.3,71.7,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,Technion-Israel Institute of Technology,RI01168,technion-israel-institute-of-technology,Israel,IL,,,63.3,55.7,71.5,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,Tel Aviv University,RI01169,tel-aviv-university,Israel,IL,,,61.8,53.3,73.0,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,Tsinghua University,RC00001,tsinghua-university,China,CN,,,64.5,56.5,60.7,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,University of Sao Paulo,RI00275,university-of-sao-paulo,Brazil,BR,,,67.1,52.5,75.0,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,Université Grenoble Alpes,RI00624,universit-grenoble-alpes,France,FR,,,56.7,56.7,64.7,35.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,Paris 13 University,RI00593,paris-13-university,France,FR,,,42.2,58.0,74.2,50.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,Aix Marseille University,RI00503,aix-marseille-university,France,FR,,,66.1,57.5,75.9,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,"University of California, Irvine",RI02964,university-of-california-irvine,United States,US,,,46.4,60.4,65.5,47.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,Claude Bernard University Lyon 1,RI00512,claude-bernard-university-lyon-1,France,FR,,,57.2,54.9,72.0,38.7,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,University of Helsinki,RI00494,university-of-helsinki,Finland,FI,,,45.4,64.3,81.1,41.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,University of Milan,RI01237,university-of-milan,Italy,IT,,,53.5,79.1,75.0,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,University of Paderborn,RI00769,university-of-paderborn,Germany,DE,,,32.3,97.5,75.9,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,University of Rennes 1,RI00669,university-of-rennes-1,France,FR,,,43.9,59.7,69.3,44.7,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,University of Science and Technology of China,RC00006,university-of-science-and-technology-of-china,China,CN,,,57.7,60.2,60.0,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,University of Utah,RI03070,university-of-utah,United States,US,,,38.8,63.9,60.9,47.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,University of Warsaw,RI01786,university-of-warsaw,Poland,PL,,,63.2,51.7,69.9,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,University of Zurich,RI02294,university-of-zurich,Switzerland,CH,,,36.9,67.6,80.4,50.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,51-75,Yale University,RI03109,yale-university,United States,US,,,36.9,67.0,56.9,50.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,Ecole Centrale Lyon,RI00522,ecole-centrale-lyon,France,FR,,,52.7,56.0,71.8,35.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,The Chinese University of Hong Kong,RG00002,the-chinese-university-of-hong-kong,China-Hong Kong,HK,,,49.9,70.7,73.9,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,City University of Hong Kong,RG00013,city-university-of-hong-kong,China-Hong Kong,HK,,,47.9,75.2,66.3,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,Fudan University,RC00004,fudan-university,China,CN,,,63.7,57.5,57.2,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,Humboldt University of Berlin,RI00717,humboldt-university-of-berlin,Germany,DE,,,45.8,60.6,79.8,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,Jean Monnet University,RI00571,jean-monnet-university,France,FR,,,52.9,55.2,71.8,35.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,Michigan State University,RI02790,michigan-state-university,United States,US,,,48.3,68.6,73.5,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,National Research University - Higher School of Economics,RI01912,hse-university,Russia,RU,,,56.0,53.9,61.9,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,Pennsylvania State University - University Park,RI02841,pennsylvania-state-university-university-park,United States,US,,,59.8,56.7,69.5,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,Purdue University - West Lafayette,RI02849,purdue-university-west-lafayette,United States,US,,,59.2,59.7,66.8,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,Scuola Normale Superiore - Pisa,RI01207,scuola-normale-superiore-pisa,Italy,IT,,,35.2,74.9,74.0,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,Seoul National University,RI02133,seoul-national-university,South Korea,KR,,,51.3,59.5,68.6,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,Shanghai Jiao Tong University,RC00005,shanghai-jiao-tong-university,China,CN,,,63.6,59.7,62.6,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,University College London,RI02548,university-college-london,United Kingdom,GB,,,40.4,63.4,79.0,38.7,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,University of Bristol,RI02556,university-of-bristol,United Kingdom,GB,,,47.9,61.8,76.7,35.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,University of Granada,RI02205,university-of-granada,Spain,ES,,,57.1,59.7,69.1,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,University of Illinois at Chicago,RI02988,university-of-illinois-at-chicago,United States,US,,,44.8,54.4,62.9,38.7,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,"University of Maryland, College Park",RI03003,university-of-maryland-college-park,United States,US,,,50.1,59.9,68.5,35.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,University of Muenster,RI00765,university-of-muenster,Germany,DE,,,47.2,57.7,69.1,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,The University of New South Wales,RI00064,the-university-of-new-south-wales,Australia,AU,,,51.2,63.7,80.0,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,University of Padua,RI01242,university-of-padua,Italy,IT,,,54.9,54.9,68.1,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,University of Pennsylvania,RI03045,university-of-pennsylvania,United States,US,,,39.3,60.6,61.8,41.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,University of Roma - Tor Vergata,RI01248,university-of-roma-tor-vergata,Italy,IT,,,49.7,62.1,68.8,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,University of Seville,RI02215,university-of-seville,Spain,ES,,,60.3,59.5,74.9,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,76-100,Zhejiang University,RC00003,zhejiang-university,China,CN,,,68.3,52.5,55.7,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Autonomous University of Barcelona,RI02150,autonomous-university-of-barcelona,Spain,ES,,,56.1,54.7,80.2,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Autonomous University of Madrid,RI02151,autonomous-university-of-madrid,Spain,ES,,,44.8,67.4,76.7,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Beijing Normal University,RC00014,beijing-normal-university,China,CN,,,62.7,63.7,53.9,0.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Beni Suef University,RI00448,beni-suef-university,Egypt,EG,,,24.0,97.2,87.6,0.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Boston College,RI02628,boston-college,United States,US,,,24.1,63.2,49.8,47.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Chalmers University of Technology,RI02230,chalmers-university-of-technology,Sweden,SE,,,36.7,61.6,80.0,35.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Chongqing University,RC00052,chongqing-university,China,CN,,,52.7,57.7,38.7,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Harbin Institute of Technology,RC00008,harbin-institute-of-technology,China,CN,,,67.3,64.8,48.7,0.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Heriot-Watt University,RI02486,heriot-watt-university,United Kingdom,GB,,,36.7,62.1,76.1,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,The Hong Kong University of Science and Technology,RG00008,the-hong-kong-university-of-science-and-technology,China-Hong Kong,HK,,,30.5,67.2,78.6,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,International School for Advanced Studies,RI01195,international-school-for-advanced-studies,Italy,IT,,,37.0,75.8,68.9,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Islamic Azad University,RI01095,islamic-azad-university,Iran,IR,,,76.0,54.9,60.4,0.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Johns Hopkins University,RI02756,johns-hopkins-university,United States,US,,,33.6,64.1,59.6,38.7,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,KU Leuven,RI00126,ku-leuven,Belgium,BE,,,48.7,65.9,78.9,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Nanjing University,RC00009,nanjing-university,China,CN,,,57.1,60.6,50.4,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Nankai University,RC00025,nankai-university,China,CN,,,60.8,61.6,49.5,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Polytechnic University of Catalonia,RI02171,polytechnic-university-of-catalonia,Spain,ES,,,54.9,58.7,76.7,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Polytechnic University of Turin,RI01204,polytechnic-university-of-turin,Italy,IT,,,41.3,71.7,69.4,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Queensland University of Technology,RI00057,queensland-university-of-technology,Australia,AU,,,23.7,100.0,91.7,0.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Saint Petersburg State University,RI01943,saint-petersburg-state-university,Russia,RU,,,55.4,52.5,62.5,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Southeast University,RC00018,southeast-university,China,CN,,,57.0,71.5,50.8,0.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Sun Yat-sen University,RC00007,sun-yat-sen-university,China,CN,,,57.0,53.6,56.4,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Technical University Munich,RI00732,technical-university-of-munich,Germany,DE,,,48.3,63.2,77.2,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,National Autonomous University of Mexico,RI01566,national-autonomous-university-of-mexico,Mexico,MX,,,61.2,47.0,73.4,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Bordeaux,RI00632,university-of-bordeaux,France,FR,,,44.9,54.9,76.2,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Caen Lower Normandy,RI00636,university-of-caen-lower-normandy,France,FR,,,28.0,63.2,65.6,35.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Universite Paris-Est Marne-la-Vallee,RI00626,universite-paris-est-marne-la-vallee,France,FR,,,38.3,65.7,72.8,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Alberta,RI00317,university-of-alberta,Canada,CA,,,47.2,58.2,80.3,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Bielefeld University,RI00692,bielefeld-university,Germany,DE,,,44.3,60.2,78.8,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,"University of California, Davis",RI02963,university-of-california-davis,United States,US,,,38.1,70.7,64.0,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Copenhagen,RI00435,university-of-copenhagen,Denmark,DK,,,38.3,63.4,79.7,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Duisburg-Essen,RI00743,university-of-duisburg-essen-1,Germany,DE,,,38.8,57.7,74.4,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Gothenburg,RI02259,university-of-gothenburg,Sweden,SE,,,32.4,61.4,77.4,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Jyvaskyla,RI00495,university-of-jyvaskyla,Finland,FI,,,39.5,65.2,79.8,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Kaiserslautern,RI00755,university-of-kaiserslautern,Germany,DE,,,39.4,59.5,68.5,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Ljubljana,RI02030,university-of-ljubljana,Slovenia,SI,,,54.7,57.7,77.3,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Milan - Bicocca,RI01238,university-of-milano-bicocca,Italy,IT,,,43.1,65.9,65.2,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Missouri - Columbia,RI03017,university-of-missouri-columbia,United States,US,,,41.4,60.4,63.9,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Notre Dame,RI03040,university-of-notre-dame,United States,US,,,41.5,60.2,64.2,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Parma,RI01244,university-of-parma,Italy,IT,,,32.3,86.9,59.7,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Southern California,RI03060,university-of-southern-california,United States,US,,,35.8,62.1,62.5,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,The University of Tokyo,RI01425,the-university-of-tokyo,Japan,JP,,,62.7,56.5,58.4,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Virginia,RI03072,university-of-virginia,United States,US,,,32.9,62.1,66.7,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,University of Waterloo,RI00338,university-of-waterloo,Canada,CA,,,61.2,49.7,77.1,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Uppsala University,RI02262,uppsala-university,Sweden,SE,,,41.0,64.1,79.3,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Vanderbilt University,RI03084,vanderbilt-university,United States,US,,,38.1,59.0,69.2,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Vienna University of Technology,RI00101,vienna-university-of-technology,Austria,AT,,,47.3,60.6,78.5,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Weizmann Institute of Science,RI01173,weizmann-institute-of-science,Israel,IL,,,44.2,56.2,78.0,31.6,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Wuhan University,RC00020,wuhan-university,China,CN,,,54.5,60.2,51.7,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,101-150,Yeungnam University,RI02147,yeungnam-university,South Korea,KR,,,25.1,97.4,78.0,0.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,151-200,Cankaya University,RI02356,cankaya-university,Türkiye,TR,,,34.1,83.6,95.0,0.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,151-200,Central South University,RC00021,central-south-university,China,CN,,,58.4,67.2,40.3,0.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,151-200,Charles University in Prague,RI00405,charles-university-in-prague,Czech Republic,CZ,,,66.9,51.4,75.4,0.0,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,151-200,Cornell University,RI02680,cornell-university,United States,US,,,46.7,54.7,60.7,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,151-200,Eindhoven University of Technology,RI01606,eindhoven-university-of-technology,Netherlands,NL,,,40.2,61.1,79.9,15.8,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,151-200,Eotvos Lorand University,RI00809,eotvos-lorand-university,Hungary,HU,,,46.7,43.5,65.3,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,151-200,Free University Berlin,RI00702,free-university-berlin,Germany,DE,,,44.6,52.0,73.8,22.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,151-200,University of Frankfurt,RI00704,goethe-university-frankfurt,Germany,DE,,,33.6,59.7,73.5,27.4,0.0
arwu,2026-07-19T13:12:23+00:00,mathematics,2018,151-200,The Hong Kong Polytechnic University,RG00007,the-hong-kong-polytechnic-university,China-Hong Kong,HK,,,43.9,76.6,64.1,0.0,0.0
