source,retrieved_at,ranking_scope,ranking_year,ranking,name,university_code,university_slug,country,country_code,country_ranking,score,indicator_alumni,indicator_award,indicator_hici,indicator_n_s,indicator_pub,indicator_pcp
arwu,2026-07-19T13:10:59+00:00,overall,2013,1,Harvard University,,harvard-university,United States,US,1,100.0,100.0,100.0,100.0,100.0,100.0,72.5
arwu,2026-07-19T13:10:59+00:00,overall,2013,2,Stanford University,,stanford-university,United States,US,2,72.6,40.0,80.7,88.9,68.7,69.4,50.4
arwu,2026-07-19T13:10:59+00:00,overall,2013,3,"University of California, Berkeley",,university-of-california-berkeley,United States,US,3,71.3,67.8,79.0,69.7,68.5,68.1,54.7
arwu,2026-07-19T13:10:59+00:00,overall,2013,4,Massachusetts Institute of Technology (MIT),,massachusetts-institute-of-technology-mit,United States,US,4,71.1,68.0,81.3,68.2,69.7,60.1,65.0
arwu,2026-07-19T13:10:59+00:00,overall,2013,5,University of Cambridge,,university-of-cambridge,United Kingdom,GB,1,69.6,79.1,97.3,54.6,54.0,66.2,53.3
arwu,2026-07-19T13:10:59+00:00,overall,2013,6,California Institute of Technology,,california-institute-of-technology,United States,US,5,62.9,47.8,67.2,57.4,62.0,45.2,100.0
arwu,2026-07-19T13:10:59+00:00,overall,2013,7,Princeton University,,princeton-university,United States,US,6,61.9,52.9,89.2,62.2,45.8,44.0,66.9
arwu,2026-07-19T13:10:59+00:00,overall,2013,8,Columbia University,,columbia-university,United States,US,7,59.8,66.1,66.4,57.4,49.8,68.0,31.9
arwu,2026-07-19T13:10:59+00:00,overall,2013,9,University of Chicago,,university-of-chicago,United States,US,8,57.1,60.9,83.4,52.2,41.9,49.8,39.5
arwu,2026-07-19T13:10:59+00:00,overall,2013,10,University of Oxford,,university-of-oxford,United Kingdom,GB,2,55.9,51.8,55.3,48.9,51.3,69.9,41.2
arwu,2026-07-19T13:10:59+00:00,overall,2013,11,Yale University,,yale-university,United States,US,9,55.4,47.5,44.5,59.7,60.7,62.4,36.3
arwu,2026-07-19T13:10:59+00:00,overall,2013,12,"University of California, Los Angeles",,university-of-california-los-angeles,United States,US,10,52.9,27.3,47.4,57.7,51.7,71.2,31.1
arwu,2026-07-19T13:10:59+00:00,overall,2013,13,Cornell University,,cornell-university,United States,US,11,50.0,38.2,50.2,54.9,45.0,55.2,37.6
arwu,2026-07-19T13:10:59+00:00,overall,2013,14,"University of California, San Diego",,university-of-california-san-diego,United States,US,12,49.9,20.0,35.8,60.3,55.5,63.4,35.5
arwu,2026-07-19T13:10:59+00:00,overall,2013,15,University of Pennsylvania,,university-of-pennsylvania,United States,US,13,49.6,33.0,34.1,57.9,47.4,66.7,37.7
arwu,2026-07-19T13:10:59+00:00,overall,2013,16,University of Washington,,university-of-washington,United States,US,14,48.3,22.0,31.8,55.1,52.3,70.8,27.9
arwu,2026-07-19T13:10:59+00:00,overall,2013,17,The Johns Hopkins University,,johns-hopkins-university,United States,US,15,46.9,39.3,33.9,42.2,49.7,68.8,27.4
arwu,2026-07-19T13:10:59+00:00,overall,2013,18,"University of California, San Francisco",,university-of-california-san-francisco,United States,US,16,46.2,0.0,40.2,53.7,54.1,59.3,34.1
arwu,2026-07-19T13:10:59+00:00,overall,2013,19,University of Wisconsin - Madison,,university-of-wisconsin-madison,United States,US,17,44.9,32.1,35.0,52.1,39.3,63.3,25.1
arwu,2026-07-19T13:10:59+00:00,overall,2013,20,Swiss Federal Institute of Technology Zurich,,eth-zurich,Switzerland,CH,1,43.5,30.7,35.8,36.7,46.6,54.7,44.4
arwu,2026-07-19T13:10:59+00:00,overall,2013,21,The University of Tokyo,,the-university-of-tokyo,Japan,JP,1,43.0,32.1,14.2,42.5,50.0,72.2,27.8
arwu,2026-07-19T13:10:59+00:00,overall,2013,21,University College London,,university-college-london,United Kingdom,GB,3,43.0,29.3,29.7,39.6,42.1,67.5,31.3
arwu,2026-07-19T13:10:59+00:00,overall,2013,23,University of Michigan - Ann Arbor,,university-of-michigan-ann-arbor,United States,US,18,42.6,33.4,0.0,60.5,42.0,75.7,24.7
arwu,2026-07-19T13:10:59+00:00,overall,2013,24,"The Imperial College of Science, Technology and Medicine",,imperial-college-london,United Kingdom,GB,4,41.6,15.1,36.1,41.6,39.0,60.4,35.7
arwu,2026-07-19T13:10:59+00:00,overall,2013,25,University of Illinois at Urbana-Champaign,,university-of-illinois-at-urbana-champaign,United States,US,19,41.1,31.2,36.5,43.3,35.9,54.2,28.4
arwu,2026-07-19T13:10:59+00:00,overall,2013,26,Kyoto University,,kyoto-university,Japan,JP,2,40.8,30.7,37.5,38.9,35.1,60.2,23.2
arwu,2026-07-19T13:10:59+00:00,overall,2013,27,New York University,,new-york-university,United States,US,20,40.5,29.3,32.2,42.2,40.8,55.5,22.8
arwu,2026-07-19T13:10:59+00:00,overall,2013,28,University of Toronto,,university-of-toronto,Canada,CA,1,40.3,20.7,17.3,39.0,38.2,77.6,27.4
arwu,2026-07-19T13:10:59+00:00,overall,2013,29,"University of Minnesota, Twin Cities",,university-of-minnesota-twin-cities,United States,US,21,39.7,27.3,16.4,51.1,34.7,64.3,25.5
arwu,2026-07-19T13:10:59+00:00,overall,2013,30,Northwestern University,,northwestern-university,United States,US,22,38.9,16.0,22.2,48.5,39.1,57.5,27.1
arwu,2026-07-19T13:10:59+00:00,overall,2013,31,Duke University,,duke-university,United States,US,23,38.1,16.0,15.0,46.5,42.8,61.6,22.5
arwu,2026-07-19T13:10:59+00:00,overall,2013,32,Washington University in St. Louis,,washington-university-in-st-louis,United States,US,24,37.5,19.3,25.1,39.0,44.2,52.1,24.9
arwu,2026-07-19T13:10:59+00:00,overall,2013,33,University of Colorado at Boulder,,university-of-colorado-at-boulder,United States,US,25,37.3,13.1,34.3,39.6,39.2,45.0,33.6
arwu,2026-07-19T13:10:59+00:00,overall,2013,34,Rockefeller University,,rockefeller-university,United States,US,26,37.1,17.7,60.2,28.9,43.1,20.4,38.1
arwu,2026-07-19T13:10:59+00:00,overall,2013,35,"University of California, Santa Barbara",,university-of-california-santa-barbara,United States,US,27,35.9,15.1,35.4,42.7,30.9,39.3,37.2
arwu,2026-07-19T13:10:59+00:00,overall,2013,36,The University of Texas at Austin,,the-university-of-texas-at-austin,United States,US,28,35.4,16.9,16.4,45.7,34.9,54.2,25.5
arwu,2026-07-19T13:10:59+00:00,overall,2013,37,Pierre and Marie  Curie University - Paris 6,,sorbonne-university,France,FR,1,35.3,35.1,27.6,25.1,30.8,59.1,22.8
arwu,2026-07-19T13:10:59+00:00,overall,2013,38,"University of Maryland, College Park",,university-of-maryland-college-park,United States,US,29,34.7,20.0,20.1,41.5,31.5,52.6,26.3
arwu,2026-07-19T13:10:59+00:00,overall,2013,39,University of Paris Sud (Paris 11),,university-of-paris-sud-paris-11,France,FR,2,34.5,31.6,54.7,16.2,19.7,48.7,25.7
arwu,2026-07-19T13:10:59+00:00,overall,2013,40,University of British Columbia,,university-of-british-columbia,Canada,CA,2,34.2,16.0,19.0,32.4,31.9,63.6,22.9
arwu,2026-07-19T13:10:59+00:00,overall,2013,41,The University of Manchester,,the-university-of-manchester,United Kingdom,GB,5,34.0,19.3,32.8,27.7,26.0,57.0,24.4
arwu,2026-07-19T13:10:59+00:00,overall,2013,42,University of Copenhagen,,university-of-copenhagen,Denmark,DK,1,33.8,22.7,19.0,25.9,30.3,60.2,35.0
arwu,2026-07-19T13:10:59+00:00,overall,2013,43,University of North Carolina at Chapel Hill,,university-of-north-carolina-at-chapel-hill,United States,US,30,33.7,9.3,16.4,39.6,32.8,58.6,23.5
arwu,2026-07-19T13:10:59+00:00,overall,2013,44,Karolinska Institute,,karolinska-institute,Sweden,SE,1,32.7,23.3,26.8,32.4,20.9,49.2,35.9
arwu,2026-07-19T13:10:59+00:00,overall,2013,45,"University of California, Irvine",,university-of-california-irvine,United States,US,31,32.4,0.0,29.5,36.9,30.7,46.8,27.1
arwu,2026-07-19T13:10:59+00:00,overall,2013,46,The University of Texas Southwestern Medical Center at Dallas,,the-university-of-texas-southwestern-medical-center-at-dallas,United States,US,32,31.4,19.3,34.7,30.6,32.9,34.6,20.6
arwu,2026-07-19T13:10:59+00:00,overall,2013,47,"University of California, Davis",,university-of-california-davis,United States,US,33-34,31.3,0.0,0.0,47.3,33.6,58.6,25.8
arwu,2026-07-19T13:10:59+00:00,overall,2013,47,University of Southern California,,university-of-southern-california,United States,US,33-34,31.3,0.0,26.8,39.6,25.1,51.3,19.1
arwu,2026-07-19T13:10:59+00:00,overall,2013,49,Vanderbilt University,,vanderbilt-university,United States,US,35,31.0,16.0,29.2,32.4,21.0,50.9,18.4
arwu,2026-07-19T13:10:59+00:00,overall,2013,50,Technical University Munich,,technical-university-of-munich,Germany,DE,1,30.6,36.3,21.7,24.6,22.4,46.7,30.4
arwu,2026-07-19T13:10:59+00:00,overall,2013,51,The University of Edinburgh,,the-university-of-edinburgh,United Kingdom,GB,6,30.5,21.4,13.4,27.1,33.6,50.9,25.3
arwu,2026-07-19T13:10:59+00:00,overall,2013,52,Carnegie Mellon University,,carnegie-mellon-university,United States,US,36,30.4,33.0,31.8,30.7,18.1,34.0,33.6
arwu,2026-07-19T13:10:59+00:00,overall,2013,52,Utrecht University,,utrecht-university,Netherlands,NL,1,30.4,23.9,20.1,29.9,25.9,47.1,25.1
arwu,2026-07-19T13:10:59+00:00,overall,2013,54,Pennsylvania State University - University Park,,pennsylvania-state-university-university-park,United States,US,37,30.2,10.7,0.0,47.1,31.4,52.0,21.8
arwu,2026-07-19T13:10:59+00:00,overall,2013,54,University of Heidelberg,,heidelberg-university,Germany,DE,2,30.2,14.1,25.5,19.1,28.5,51.1,30.9
arwu,2026-07-19T13:10:59+00:00,overall,2013,54,University of Melbourne,,the-university-of-melbourne,Australia,AU,1,30.2,17.7,13.4,24.0,24.4,62.5,27.1
arwu,2026-07-19T13:10:59+00:00,overall,2013,57,Purdue University - West Lafayette,,purdue-university-west-lafayette,United States,US,38,30.1,14.1,23.2,28.9,26.7,49.6,21.7
arwu,2026-07-19T13:10:59+00:00,overall,2013,58,McGill University,,mcgill-university,Canada,CA,3,29.9,31.6,0.0,31.5,26.1,58.8,25.9
