source,retrieved_at,ranking_scope,ranking_year,ranking,name,university_code,university_slug,country,country_code,country_ranking,score,indicator_alumni,indicator_award,indicator_hici,indicator_n_s,indicator_pub,indicator_pcp
arwu,2026-07-19T13:11:03+00:00,overall,2016,1,Harvard University,,harvard-university,United States,US,1,100.0,100.0,100.0,100.0,100.0,100.0,79.2
arwu,2026-07-19T13:11:03+00:00,overall,2016,2,Stanford University,,stanford-university,United States,US,2,74.7,42.9,89.6,80.1,73.6,73.1,55.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,3,"University of California, Berkeley",,university-of-california-berkeley,United States,US,3,70.1,65.1,79.4,64.9,68.7,68.4,59.0
arwu,2026-07-19T13:11:03+00:00,overall,2016,4,University of Cambridge,,university-of-cambridge,United Kingdom,GB,1,69.6,78.3,96.6,51.3,56.7,67.8,58.5
arwu,2026-07-19T13:11:03+00:00,overall,2016,5,Massachusetts Institute of Technology (MIT),,massachusetts-institute-of-technology-mit,United States,US,4,69.2,69.4,80.7,55.3,71.7,61.7,69.7
arwu,2026-07-19T13:11:03+00:00,overall,2016,6,Princeton University,,princeton-university,United States,US,5,62.0,53.3,98.0,51.3,47.2,42.9,74.4
arwu,2026-07-19T13:11:03+00:00,overall,2016,7,University of Oxford,,university-of-oxford,United Kingdom,GB,2,58.9,49.7,54.9,56.2,55.0,74.5,46.1
arwu,2026-07-19T13:11:03+00:00,overall,2016,8,California Institute of Technology,,california-institute-of-technology,United States,US,6,57.8,51.0,66.7,39.7,57.3,43.6,100.0
arwu,2026-07-19T13:11:03+00:00,overall,2016,9,Columbia University,,columbia-university,United States,US,7,56.7,63.5,65.9,41.0,53.3,68.9,33.3
arwu,2026-07-19T13:11:03+00:00,overall,2016,10,University of Chicago,,university-of-chicago,United States,US,8,54.2,59.8,86.3,34.0,42.7,50.2,44.5
arwu,2026-07-19T13:11:03+00:00,overall,2016,11,Yale University,,yale-university,United States,US,9,52.8,47.6,50.4,44.7,58.4,62.6,37.1
arwu,2026-07-19T13:11:03+00:00,overall,2016,12,"University of California, Los Angeles",,university-of-california-los-angeles,United States,US,10,51.5,29.5,47.1,58.0,44.5,71.4,33.4
arwu,2026-07-19T13:11:03+00:00,overall,2016,13,Cornell University,,cornell-university,United States,US,11,49.0,42.0,49.8,41.0,47.0,60.5,40.9
arwu,2026-07-19T13:11:03+00:00,overall,2016,14,"University of California, San Diego",,university-of-california-san-diego,United States,US,12,47.8,19.2,35.5,49.2,57.8,63.5,37.0
arwu,2026-07-19T13:11:03+00:00,overall,2016,15,University of Washington,,university-of-washington,United States,US,13,47.3,21.2,31.6,49.2,52.1,72.6,31.0
arwu,2026-07-19T13:11:03+00:00,overall,2016,16,Johns Hopkins University,,johns-hopkins-university,United States,US,14,46.0,37.7,33.6,38.4,47.0,71.9,31.1
arwu,2026-07-19T13:11:03+00:00,overall,2016,17,University College London,,university-college-london,United Kingdom,GB,3,45.3,28.1,36.2,39.7,41.6,73.9,32.2
arwu,2026-07-19T13:11:03+00:00,overall,2016,18,University of Pennsylvania,,university-of-pennsylvania,United States,US,15,44.5,31.6,33.8,42.3,39.4,67.7,37.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,19,Swiss Federal Institute of Technology Zurich,,eth-zurich,Switzerland,CH,1,43.8,29.5,35.5,35.5,50.2,55.6,46.1
arwu,2026-07-19T13:11:03+00:00,overall,2016,20,The University of Tokyo,,the-university-of-tokyo,Japan,JP,1,42.2,36.3,25.3,30.8,47.5,70.0,29.7
arwu,2026-07-19T13:11:03+00:00,overall,2016,21,"University of California, San Francisco",,university-of-california-san-francisco,United States,US,16,41.9,0.0,39.9,37.0,52.1,59.3,33.5
arwu,2026-07-19T13:11:03+00:00,overall,2016,22,"The Imperial College of Science, Technology and Medicine",,imperial-college-london,United Kingdom,GB,4,41.6,14.5,35.8,43.5,32.9,64.0,39.9
arwu,2026-07-19T13:11:03+00:00,overall,2016,23,University of Michigan-Ann Arbor,,university-of-michigan-ann-arbor,United States,US,17-18,40.8,34.4,0.0,51.3,41.6,76.6,25.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,23,Washington University in St. Louis,,washington-university-in-st-louis,United States,US,17-18,40.8,22.9,24.9,51.3,42.0,51.7,37.2
arwu,2026-07-19T13:11:03+00:00,overall,2016,25,Duke University,,duke-university,United States,US,19,40.4,15.4,19.2,57.1,38.9,62.1,25.9
arwu,2026-07-19T13:11:03+00:00,overall,2016,26,Northwestern University,,northwestern-university,United States,US,20,40.0,15.4,22.1,54.3,35.6,59.6,32.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,27,University of Toronto,,university-of-toronto,Canada,CA,1,39.4,19.9,17.2,32.4,38.2,80.1,30.3
arwu,2026-07-19T13:11:03+00:00,overall,2016,28,University of Wisconsin - Madison,,university-of-wisconsin-madison,United States,US,21,39.2,32.8,34.8,30.8,35.0,62.7,24.3
arwu,2026-07-19T13:11:03+00:00,overall,2016,29,New York University,,new-york-university,United States,US,22,38.0,28.1,31.9,32.4,39.5,57.3,22.0
arwu,2026-07-19T13:11:03+00:00,overall,2016,30,University of Copenhagen,,university-of-copenhagen,Denmark,DK,1,37.7,21.8,18.8,32.4,36.2,65.2,41.9
arwu,2026-07-19T13:11:03+00:00,overall,2016,30,University of Illinois at Urbana-Champaign,,university-of-illinois-at-urbana-champaign,United States,US,23,37.7,29.9,36.2,30.8,33.1,55.1,29.1
arwu,2026-07-19T13:11:03+00:00,overall,2016,32,Kyoto University,,kyoto-university,Japan,JP,2,37.2,31.6,37.2,27.1,31.5,58.4,23.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,33,"University of Minnesota, Twin Cities",,university-of-minnesota-twin-cities,United States,US,24,36.8,29.5,16.3,39.7,32.5,64.8,24.1
arwu,2026-07-19T13:11:03+00:00,overall,2016,34,University of British Columbia,,university-of-british-columbia,Canada,CA,2,36.7,15.4,18.8,42.3,32.7,64.5,27.2
arwu,2026-07-19T13:11:03+00:00,overall,2016,35,The University of Manchester,,the-university-of-manchester,United Kingdom,GB,5,36.4,18.5,32.6,37.0,26.4,58.4,29.0
arwu,2026-07-19T13:11:03+00:00,overall,2016,35,University of North Carolina at Chapel Hill,,university-of-north-carolina-at-chapel-hill,United States,US,25,36.4,8.9,23.7,39.7,32.6,60.8,33.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,37,Rockefeller University,,rockefeller-university,United States,US,26,36.1,17.0,59.8,27.1,41.8,19.3,40.0
arwu,2026-07-19T13:11:03+00:00,overall,2016,38,University of Colorado at Boulder,,university-of-colorado-at-boulder,United States,US,27,35.1,12.6,34.1,30.8,36.8,46.2,35.1
arwu,2026-07-19T13:11:03+00:00,overall,2016,39,Pierre and Marie  Curie University - Paris 6,,sorbonne-university,France,FR,1,34.5,33.6,27.4,20.5,29.7,61.9,25.3
arwu,2026-07-19T13:11:03+00:00,overall,2016,40,The University of Melbourne,,the-university-of-melbourne,Australia,AU,1,33.9,17.0,13.3,35.5,24.8,67.9,32.2
arwu,2026-07-19T13:11:03+00:00,overall,2016,41,The University of Edinburgh,,the-university-of-edinburgh,United Kingdom,GB,6,33.6,20.5,24.9,32.4,31.3,52.1,26.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,42,"University of California, Santa Barbara",,university-of-california-santa-barbara,United States,US,28,33.3,14.5,39.1,32.4,27.3,37.7,38.2
arwu,2026-07-19T13:11:03+00:00,overall,2016,43,The University of Texas Southwestern Medical Center at Dallas,,the-university-of-texas-southwestern-medical-center-at-dallas,United States,US,29,32.9,18.5,34.5,30.8,37.6,34.9,27.7
arwu,2026-07-19T13:11:03+00:00,overall,2016,44,Karolinska Institute,,karolinska-institute,Sweden,SE,1,32.7,25.6,26.6,22.9,25.1,52.6,40.2
arwu,2026-07-19T13:11:03+00:00,overall,2016,44,The University of Texas at Austin,,the-university-of-texas-at-austin,United States,US,30,32.7,16.2,16.3,29.0,37.0,56.3,26.6
arwu,2026-07-19T13:11:03+00:00,overall,2016,46,University of Paris-Sud (Paris 11),,university-of-paris-sud-paris-11,France,FR,2,32.5,30.3,54.3,10.3,17.6,47.9,27.7
arwu,2026-07-19T13:11:03+00:00,overall,2016,47,Heidelberg University,,heidelberg-university,Germany,DE,1-2,32.3,19.9,25.3,22.9,30.6,51.8,34.9
arwu,2026-07-19T13:11:03+00:00,overall,2016,47,Technical University Munich,,technical-university-of-munich,Germany,DE,1-2,32.3,34.8,21.6,29.0,23.3,49.7,34.6
arwu,2026-07-19T13:11:03+00:00,overall,2016,49,University of Southern California,,university-of-southern-california,United States,US,31,32.2,0.0,31.7,35.5,23.4,53.9,26.2
arwu,2026-07-19T13:11:03+00:00,overall,2016,50,King's College London,,kings-college-london,United Kingdom,GB,7,31.6,21.2,21.0,34.0,19.6,55.3,27.9
arwu,2026-07-19T13:11:03+00:00,overall,2016,51,University of Munich,,university-of-munich,Germany,DE,3,31.4,25.6,19.1,25.1,29.4,50.3,33.9
arwu,2026-07-19T13:11:03+00:00,overall,2016,52,"University of Maryland, College Park",,university-of-maryland-college-park,United States,US,32,31.0,19.2,20.0,22.9,32.8,52.7,27.6
arwu,2026-07-19T13:11:03+00:00,overall,2016,53,University of Geneva,,university-of-geneva,Switzerland,CH,2,30.7,27.1,28.2,25.1,28.6,38.2,32.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,54,University of Zurich,,university-of-zurich,Switzerland,CH,3,30.5,5.1,24.0,25.1,28.7,53.1,31.7
arwu,2026-07-19T13:11:03+00:00,overall,2016,55,The University of Queensland,,the-university-of-queensland,Australia,AU,2,30.2,12.6,0.0,34.0,26.0,64.6,33.6
arwu,2026-07-19T13:11:03+00:00,overall,2016,56,University of Helsinki,,university-of-helsinki,Finland,FI,1,29.9,12.6,16.3,32.4,22.8,51.9,33.5
arwu,2026-07-19T13:11:03+00:00,overall,2016,57,University of Bristol,,university-of-bristol,United Kingdom,GB,8,29.7,7.3,16.3,29.0,34.2,46.7,31.5
arwu,2026-07-19T13:11:03+00:00,overall,2016,58,Tsinghua University,,tsinghua-university,China,CN,1,29.6,10.3,0.0,27.1,32.5,68.3,23.2
arwu,2026-07-19T13:11:03+00:00,overall,2016,58,"University of California, Irvine",,university-of-california-irvine,United States,US,33,29.6,0.0,29.3,29.0,28.1,45.0,26.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,60,Uppsala University,,uppsala-university,Sweden,SE,2,29.3,17.8,27.4,17.8,24.8,50.2,28.5
arwu,2026-07-19T13:11:03+00:00,overall,2016,60,Vanderbilt University,,vanderbilt-university,United States,US,34,29.3,15.4,29.0,25.1,20.4,51.0,19.9
arwu,2026-07-19T13:11:03+00:00,overall,2016,62,Ghent University,,ghent-university,Belgium,BE,1,29.1,5.1,13.3,32.4,18.6,57.9,35.7
arwu,2026-07-19T13:11:03+00:00,overall,2016,63,McGill University,,mcgill-university,Canada,CA,3,28.9,32.8,0.0,22.9,27.5,60.3,28.3
arwu,2026-07-19T13:11:03+00:00,overall,2016,63,Purdue University - West Lafayette,,purdue-university-west-lafayette,United States,US,35,28.9,13.6,23.1,25.1,24.4,50.1,24.2
arwu,2026-07-19T13:11:03+00:00,overall,2016,65,Aarhus University,,aarhus-university,Denmark,DK,2,28.7,11.5,22.1,17.8,25.6,52.9,32.5
arwu,2026-07-19T13:11:03+00:00,overall,2016,65,Utrecht University,,utrecht-university,Netherlands,NL,1,28.7,22.9,20.0,22.9,25.9,46.3,27.6
arwu,2026-07-19T13:11:03+00:00,overall,2016,67,University of Oslo,,university-of-oslo,Norway,NO,1,28.6,28.1,32.6,10.3,18.4,50.6,28.1
arwu,2026-07-19T13:11:03+00:00,overall,2016,68,Carnegie Mellon University,,carnegie-mellon-university,United States,US,36,28.1,31.6,31.6,25.1,13.7,33.9,34.7
arwu,2026-07-19T13:11:03+00:00,overall,2016,69,Technion-Israel Institute of Technology,,technion-israel-institute-of-technology,Israel,IL,1,28.0,23.5,37.6,17.8,20.2,34.9,29.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,70,"University of Pittsburgh, Pittsburgh Campus",,university-of-pittsburgh,United States,US,37,27.8,18.5,0.0,38.4,19.4,59.7,19.0
arwu,2026-07-19T13:11:03+00:00,overall,2016,71,Peking University,,peking-university,China,CN,2,27.7,11.5,0.0,27.1,24.5,66.7,22.7
arwu,2026-07-19T13:11:03+00:00,overall,2016,72,Nagoya University,,nagoya-university,Japan,JP,3,27.5,29.0,25.3,20.5,17.9,44.2,24.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,72,Rice University,,rice-university,United States,US,38,27.5,16.2,21.7,35.5,20.8,29.4,37.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,72,University of Groningen,,university-of-groningen,Netherlands,NL,2,27.5,0.0,18.8,25.1,20.6,53.2,33.7
arwu,2026-07-19T13:11:03+00:00,overall,2016,75,Boston University,,boston-university,United States,US,39-40,27.2,11.5,11.5,27.1,26.9,50.1,23.2
arwu,2026-07-19T13:11:03+00:00,overall,2016,75,"University of California, Davis",,university-of-california-davis,United States,US,39-40,27.2,0.0,0.0,30.8,32.0,58.1,24.9
arwu,2026-07-19T13:11:03+00:00,overall,2016,77,Pennsylvania State University - University Park,,pennsylvania-state-university-university-park,United States,US,41,26.9,10.3,0.0,30.8,30.5,53.4,24.0
arwu,2026-07-19T13:11:03+00:00,overall,2016,77,The Australian National University,,the-australian-national-university,Australia,AU,3,26.9,13.6,19.2,20.5,23.0,46.4,30.9
arwu,2026-07-19T13:11:03+00:00,overall,2016,79,Monash University,,monash-university,Australia,AU,4,26.8,0.0,0.0,34.0,22.3,59.7,30.5
arwu,2026-07-19T13:11:03+00:00,overall,2016,79,The Ohio State University - Columbus,,the-ohio-state-university-columbus,United States,US,42,26.8,12.6,0.0,32.4,20.8,62.3,18.8
arwu,2026-07-19T13:11:03+00:00,overall,2016,81,Stockholm University,,stockholm-university,Sweden,SE,3,26.7,24.1,27.4,14.5,21.2,41.9,27.3
arwu,2026-07-19T13:11:03+00:00,overall,2016,82,University of Sydney,,university-of-sydney,Australia,AU,5,26.6,14.5,0.0,25.1,17.8,65.7,28.6
arwu,2026-07-19T13:11:03+00:00,overall,2016,83,McMaster University,,mcmaster-university,Canada,CA,4,26.5,12.6,18.8,32.4,13.6,45.5,25.7
arwu,2026-07-19T13:11:03+00:00,overall,2016,83,National University of Singapore,,national-university-of-singapore,Singapore,SG,1,26.5,0.0,0.0,32.4,19.4,60.4,35.2
