source,retrieved_at,ranking_scope,ranking_year,ranking,global_rank,name,country,sector,best_country_quartile,subject_area_code,data_period_start_year,data_period_end_year
scimago,2026-07-19T14:07:16+00:00,overall,2021,1,4,Harvard University *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,2,5,Harvard Medical School,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,3,11,Tsinghua University *,CHN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,4,12,Stanford University *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,5,13,Massachusetts Institute of Technology *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,6,17,University of Oxford,GBR,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,7,20,Johns Hopkins University *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,8,22,"University of Michigan, Ann Arbor *",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,9,24,University College London *,GBR,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,10,27,Zhejiang University *,CHN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,11,28,University of Washington *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,12,29,University of Chinese Academy of Sciences,CHN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,13,31,University of Pennsylvania *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,14,32,Shanghai Jiao Tong University *,CHN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,15,33,University of Toronto,CAN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,16,34,Peking University *,CHN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,17,35,University of Cambridge *,GBR,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,18,37,"University of California, Los Angeles *",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,19,38,"University of California, San Diego *",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,20,39,Cornell University *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,21,40,Columbia University *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,22,41,"University of California, Berkeley *",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,23,43,Imperial College London,GBR,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,24,47,Sorbonne Universite *,FRA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,25,48,"University of California, San Francisco *",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,26,49,Yale University *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,27,50,Universidade de Sao Paulo *,BRA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,28,52,National University of Singapore *,SGP,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,29,54,University of Melbourne *,AUS,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,30,55,University of Tokyo *,JPN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,31,56,Duke University *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,32,58,University of Sydney,AUS,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,33,59,Universite de Paris *,FRA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,34,60,"Northwestern University, Evanston *",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,35,61,Huazhong University of Science and Technology *,CHN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,36,63,Swiss Federal Institute of Technology,CHE,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,37,64,"University of Wisconsin, Madison *",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,38,65,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,39,68,University of Chicago *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,40,71,"University of North Carolina, Chapel Hill *",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,41,73,"University of Minnesota, Twin Cities *",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,42,74,"University of Maryland, Baltimore",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,43,75,New York University *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,44,76,Seoul National University *,KOR,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,45,79,"Ohio State University, Columbus *",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,46,82,The University of British Columbia,CAN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,47,83,University of Copenhagen,DNK,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,48,86,Nanyang Technological University *,SGP,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,49,87,Harbin Institute of Technology,CHN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,50,89,The University of Queensland *,AUS,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,51,91,"Monash University, Melbourne *",AUS,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,52,92,Catholic University of Leuven,BEL,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,53,94,University of Illinois at Urbana-Champaign *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,54,95,University of Pittsburgh *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,55,99,"University of California, Davis *",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,56,103,Tianjin University *,CHN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,57,106,Fudan University *,CHN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,58,107,Utrecht University *,NLD,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,59,108,Kings College London,GBR,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,60,109,University of Amsterdam *,NLD,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,61,110,University of New South Wales,AUS,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,62,113,The University of Manchester,GBR,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,63,114,Washington University in Saint Louis *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,64,118,"University of Texas, Austin",USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,65,119,University of Florida *,USA,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,66,120,Xi'an Jiaotong University *,CHN,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,67,121,The University of Edinburgh *,GBR,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,68,123,Technische Universitat Munchen *,DEU,Universities,,0,2015.0,2019.0
scimago,2026-07-19T14:07:16+00:00,overall,2021,69,124,Sichuan University *,CHN,Universities,,0,2015.0,2019.0
